Cycle,Voltage_V,Current_A,Temperature_C,Capacity_Ah,Time_s,SOH_pct
1,4.204,1.405,24.53,2.054,5243.0,100.21
2,4.197,1.457,24.33,2.047,5046.2,99.87
3,4.195,1.479,24.22,2.055,4981.2,100.23
4,4.199,1.594,25.23,2.063,4646.6,100.62
5,4.198,1.528,24.92,2.045,4813.4,99.74
6,4.197,1.433,25.22,2.044,5150.8,99.71
7,4.202,1.524,25.38,2.062,4862.3,100.56
8,4.204,1.423,25.17,2.053,5162.9,100.14
9,4.199,1.554,25.37,2.04,4747.8,99.5
10,4.206,1.476,25.02,2.049,4980.1,99.97
11,4.193,1.495,24.46,2.039,4906.9,99.45
12,4.197,1.566,25.59,2.038,4693.1,99.41
13,4.194,1.436,24.77,2.044,5130.7,99.73
14,4.189,1.43,24.6,2.022,5112.5,98.65
15,4.197,1.471,24.99,2.024,4962.6,98.71
16,4.197,1.552,24.62,2.035,4702.5,99.25
17,4.205,1.424,24.88,2.03,5174.2,99.0
18,4.2,1.358,25.26,2.042,5416.0,99.62
19,4.192,1.477,25.27,2.029,4941.8,98.99
20,4.206,1.528,24.65,2.024,4788.4,98.72
21,4.203,1.56,24.86,2.052,4740.0,100.09
22,4.2,1.477,25.65,2.034,4967.0,99.24
23,4.195,1.479,25.36,2.037,5005.9,99.35
24,4.192,1.558,26.16,2.021,4665.6,98.59
25,4.194,1.407,25.72,2.029,5187.9,98.99
26,4.202,1.481,25.7,2.035,4951.2,99.28
27,4.205,1.51,24.44,2.022,4843.9,98.64
28,4.204,1.522,25.52,2.037,4786.0,99.35
29,4.193,1.475,25.12,2.026,4908.2,98.85
30,4.19,1.502,24.87,2.029,4852.1,98.97
31,4.196,1.376,25.24,2.025,5267.4,98.79
32,4.186,1.467,25.63,2.049,5019.8,99.96
33,4.197,1.523,25.42,2.03,4809.3,99.02
34,4.194,1.451,24.73,2.019,4991.5,98.48
35,4.192,1.503,25.55,2.037,4850.8,99.37
36,4.187,1.522,24.86,2.016,4768.9,98.34
37,4.197,1.483,25.29,2.03,4944.9,99.01
38,4.192,1.509,25.04,2.007,4756.8,97.93
39,4.188,1.452,25.09,2.013,5008.3,98.2
40,4.18,1.49,25.58,2.028,4916.9,98.92
41,4.194,1.531,24.68,2.033,4800.3,99.16
42,4.203,1.508,26.18,2.026,4862.5,98.85
43,4.202,1.471,24.3,2.023,4996.0,98.68
44,4.191,1.511,24.92,2.021,4806.1,98.56
45,4.19,1.536,25.41,2.008,4709.6,97.96
46,4.195,1.398,25.52,2.015,5182.8,98.3
47,4.188,1.558,25.18,2.017,4661.1,98.4
48,4.194,1.483,25.21,2.032,4962.1,99.11
49,4.196,1.521,25.45,2.024,4762.8,98.73
50,4.199,1.56,25.13,2.002,4604.1,97.68
51,4.192,1.431,25.95,2.023,5114.5,98.67
52,4.191,1.465,25.68,2.015,4973.5,98.29
53,4.188,1.486,25.7,2.011,4867.2,98.12
54,4.188,1.461,24.79,2.024,5004.5,98.72
55,4.191,1.587,25.24,2.027,4606.6,98.9
56,4.193,1.457,25.13,2.026,5034.9,98.82
57,4.196,1.472,24.78,2.008,4910.5,97.93
58,4.187,1.51,25.47,2.012,4817.2,98.16
59,4.199,1.44,25.03,2.018,5098.4,98.44
60,4.19,1.48,25.63,2.024,4934.3,98.73
61,4.191,1.516,24.77,2.009,4771.7,97.99
62,4.187,1.483,26.17,2.011,4895.4,98.11
63,4.178,1.495,24.87,2.001,4811.0,97.63
64,4.195,1.474,25.43,2.0,4933.8,97.56
65,4.194,1.424,25.72,2.019,5107.9,98.51
66,4.189,1.516,25.04,2.024,4801.3,98.75
67,4.19,1.588,25.76,2.009,4539.4,98.02
68,4.192,1.501,24.73,2.02,4866.0,98.52
69,4.182,1.511,26.07,2.013,4811.6,98.18
70,4.187,1.535,25.36,2.002,4686.3,97.66
71,4.193,1.437,25.06,2.011,5052.3,98.12
72,4.183,1.585,25.21,2.023,4563.5,98.67
73,4.191,1.51,25.77,2.006,4786.7,97.87
74,4.182,1.582,25.08,2.022,4611.0,98.62
75,4.191,1.463,25.0,1.979,4903.6,96.55
76,4.188,1.591,25.27,2.013,4540.2,98.21
77,4.18,1.539,24.8,2.005,4665.9,97.82
78,4.194,1.528,26.3,2.001,4697.2,97.6
79,4.184,1.512,25.11,2.004,4746.1,97.77
80,4.184,1.488,25.82,1.983,4825.3,96.72
81,4.189,1.56,25.51,2.0,4646.2,97.56
82,4.193,1.507,24.92,2.005,4796.4,97.81
83,4.182,1.402,25.41,2.016,5201.8,98.33
84,4.188,1.444,25.81,1.995,4976.5,97.33
